2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:15:19,787 - INFO - Env 02, Goal (005.6, -00.6), Episode 00017, setp 086, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-19 00:15:20,157 - INFO - Env 02, Goal (-00.8, -07.4), Episode 00018, setp 002, Reward -15.0, Distance 009.4, Crashed
2021-01-19 00:15:20,206 - INFO - Env 05, Goal (-00.7, 004.8), Episode 00014, setp 006, Reward -14.4, Distance 009.8, Crashed
2021-01-19 00:15:20,769 - INFO - Env 01, Goal (-01.8, -02.0), Episode 00014, setp 089, Reward 35.9 , Distance 008.9, Reach Goal
2021-01-19 00:15:20,771 - INFO - Env 10, Goal (-02.6, 002.1), Episode 00013, setp 109, Reward 4.8  , Distance 009.4, Crashed
2021-01-19 00:15:25,207 - INFO - Env 11, Goal (001.4, 004.0), Episode 00012, setp 082, Reward 34.0 , Distance 008.1, Reach Goal
2021-01-19 00:15:25,598 - INFO - Env 03, Goal (004.4, 003.0), Episode 00013, setp 084, Reward 33.5 , Distance 008.0, Reach Goal
2021-01-19 00:15:28,310 - INFO - Env 00, Goal (000.8, -06.7), Episode 00015, setp 083, Reward 35.7 , Distance 008.8, Reach Goal
2021-01-19 00:15:29,677 - INFO - Env 09, Goal (000.8, -02.2), Episode 00016, setp 083, Reward 35.3 , Distance 008.8, Reach Goal
2021-01-19 00:15:32,085 - INFO - Env 04, Goal (003.7, -08.2), Episode 00018, setp 108, Reward 38.0 , Distance 009.8, Reach Goal
